SITE;MUNICIPALITY;STATE;LAT_Y_POINT;LONG_X_POINT;LAND_USE_surrounding_100m;COL_END_YR;ORDER;FAMILY;GENUS;SPECIES;OCCUR;NUMBER_OF_RECORDS
UPA9UT5;Paragominas;PA;-3.74078;-48.60257;Reduced-impact logging;2013;Siluriformes;Heptapteridae;Mastiglanis;Mastiglanis asopos;1;1
UPA16REF3;Paragominas;PA;-3.55106;-48.7534;Reduced-impact logging;2013;Siluriformes;Callichthyidae;Megalechis;Megalechis thoracata;1;1
UPA13UT31;Paragominas;PA;-3.70842;-48.71799;Reduced-impact logging;2013;Characiformes;Crenuchidae;Melanocharacidium;Melanocharacidium dispilomma;1;1
UPA16REF3;Paragominas;PA;-3.55106;-48.7534;Reduced-impact logging;2013;Characiformes;Crenuchidae;Microcharacidium ;Microcharacidium weitzmani;1;189
UPA11UT37;Paragominas;PA;-3.59552;-48.54519;Reduced-impact logging;2013;Characiformes;Crenuchidae;Microcharacidium ;Microcharacidium weitzmani;1;13
UPA12UT29;Paragominas;PA;-3.70351;-48.67416;Reduced-impact logging;2013;Characiformes;Crenuchidae;Microcharacidium ;Microcharacidium weitzmani;1;1
UPA13UT27-1;Paragominas;PA;-3.71856;-48.70264;Reduced-impact logging;2013;Characiformes;Crenuchidae;Microcharacidium ;Microcharacidium weitzmani;1;155
UPA13UT27-2;Paragominas;PA;-3.72305;-48.69458;Reduced-impact logging;2013;Characiformes;Crenuchidae;Microcharacidium ;Microcharacidium weitzmani;1;56
UPA6UT13;Paragominas;PA;-3.53329;-48.81104;Reduced-impact logging;2013;Characiformes;Crenuchidae;Microcharacidium ;Microcharacidium weitzmani;1;50
UPA6UT80;Paragominas;PA;-3.65393;-48.61003;Reduced-impact logging;2013;Characiformes;Crenuchidae;Microcharacidium ;Microcharacidium weitzmani;1;7
UPA6UT81;Paragominas;PA;-3.66524;-48.59988;Reduced-impact logging;2013;Characiformes;Crenuchidae;Microcharacidium ;Microcharacidium weitzmani;1;8
UPA16REF3;Paragominas;PA;-3.55106;-48.7534;Reduced-impact logging;2013;Gymnotiformes; Hypopomidae;Microsternarchus;Microsternarchus aff. bilineatus;1;7
UPA12UT29;Paragominas;PA;-3.70351;-48.67416;Reduced-impact logging;2013;Gymnotiformes; Hypopomidae;Microsternarchus;Microsternarchus aff. bilineatus;1;1
UPA6UT13;Paragominas;PA;-3.53329;-48.81104;Reduced-impact logging;2013;Gymnotiformes; Hypopomidae;Microsternarchus;Microsternarchus aff. bilineatus;1;9
UPA6UT80;Paragominas;PA;-3.65393;-48.61003;Reduced-impact logging;2013;Gymnotiformes; Hypopomidae;Microsternarchus;Microsternarchus aff. bilineatus;1;3
UPA7UT55;Paragominas;PA;-3.66351;-48.56396;Reduced-impact logging;2013;Gymnotiformes; Hypopomidae;Microsternarchus;Microsternarchus aff. bilineatus;1;2
UPA16REF3;Paragominas;PA;-3.55106;-48.7534;Reduced-impact logging;2013;Characiformes;Characidae;Moenkhausia;Moenkhausia comma;1;1
UPA6UT13;Paragominas;PA;-3.53329;-48.81104;Reduced-impact logging;2013;Characiformes;Characidae;Moenkhausia;Moenkhausia comma;1;4
UPA7UT30;Paragominas;PA;-3.70937;-48.56151;Reduced-impact logging;2013;Characiformes;Characidae;Moenkhausia;Moenkhausia oligolepis;1;1
UPA16REF3;Paragominas;PA;-3.55106;-48.7534;Reduced-impact logging;2013;Cichliformes;Cichlidae;Nannacara;Nannacara taenia;1;9
UPA6UT13;Paragominas;PA;-3.53329;-48.81104;Reduced-impact logging;2013;Cichliformes;Cichlidae;Nannacara;Nannacara taenia;1;11
UPA6UT16;Paragominas;PA;-3.53072;-48.78286;Reduced-impact logging;2013;Cichliformes;Cichlidae;Nannacara;Nannacara taenia;1;4
UPA16REF3;Paragominas;PA;-3.55106;-48.7534;Reduced-impact logging;2013;Characiformes;Lebiasinidae;Nannostomus;Nannostomus trifasciatus;1;3
UPA11UT26;Paragominas;PA;-3.66999;-48.51567;Reduced-impact logging;2013;Characiformes;Lebiasinidae;Nannostomus;Nannostomus trifasciatus;1;2
UPA11UT37;Paragominas;PA;-3.59552;-48.54519;Reduced-impact logging;2013;Characiformes;Lebiasinidae;Nannostomus;Nannostomus trifasciatus;1;3
UPA13UT27-2;Paragominas;PA;-3.72305;-48.69458;Reduced-impact logging;2013;Characiformes;Lebiasinidae;Nannostomus;Nannostomus trifasciatus;1;4
UPA6UT13;Paragominas;PA;-3.53329;-48.81104;Reduced-impact logging;2013;Characiformes;Lebiasinidae;Nannostomus;Nannostomus trifasciatus;1;14
UPA7UT55;Paragominas;PA;-3.66351;-48.56396;Reduced-impact logging;2013;Characiformes;Lebiasinidae;Nannostomus;Nannostomus trifasciatus;1;1
UPA12UT29;Paragominas;PA;-3.70351;-48.67416;Reduced-impact logging;2013;Siluriformes;Trichomycteridae;Paracanthopoma;Paracanthopoma sp.;1;1
UPA6UT13;Paragominas;PA;-3.53329;-48.81104;Reduced-impact logging;2013;Siluriformes;Trichomycteridae;Paracanthopoma;Paracanthopoma sp.;1;2
UPA13UT31;Paragominas;PA;-3.70842;-48.71799;Reduced-impact logging;2013;Characiformes;Characidae;Phenacogaster;Phenacogaster pectinatus;1;1
UPA12UT29;Paragominas;PA;-3.70351;-48.67416;Reduced-impact logging;2013;Siluriformes;Heptapteridae;Pimelodella;Pimelodella sp.;1;2
UPA11UT26;Paragominas;PA;-3.66999;-48.51567;Reduced-impact logging;2013;Characiformes;Lebiasinidae;Pyrrhulina;Pyrrhulina aff. brevis;1;8
UPA11UT37;Paragominas;PA;-3.59552;-48.54519;Reduced-impact logging;2013;Characiformes;Lebiasinidae;Pyrrhulina;Pyrrhulina aff. brevis;1;4
UPA12UT29;Paragominas;PA;-3.70351;-48.67416;Reduced-impact logging;2013;Characiformes;Lebiasinidae;Pyrrhulina;Pyrrhulina aff. brevis;1;2
UPA13UT27-1;Paragominas;PA;-3.71856;-48.70264;Reduced-impact logging;2013;Characiformes;Lebiasinidae;Pyrrhulina;Pyrrhulina aff. brevis;1;67
UPA13UT27-2;Paragominas;PA;-3.72305;-48.69458;Reduced-impact logging;2013;Characiformes;Lebiasinidae;Pyrrhulina;Pyrrhulina aff. brevis;1;41
UPA13UT31;Paragominas;PA;-3.70842;-48.71799;Reduced-impact logging;2013;Characiformes;Lebiasinidae;Pyrrhulina;Pyrrhulina aff. brevis;1;1
UPA5UT20;Paragominas;PA;-3.54574;-48.49817;Reduced-impact logging;2013;Characiformes;Lebiasinidae;Pyrrhulina;Pyrrhulina aff. brevis;1;2
UPA6UT13;Paragominas;PA;-3.53329;-48.81104;Reduced-impact logging;2013;Characiformes;Lebiasinidae;Pyrrhulina;Pyrrhulina aff. brevis;1;2
UPA6UT16;Paragominas;PA;-3.53072;-48.78286;Reduced-impact logging;2013;Characiformes;Lebiasinidae;Pyrrhulina;Pyrrhulina aff. brevis;1;4
UPA6UT80;Paragominas;PA;-3.65393;-48.61003;Reduced-impact logging;2013;Characiformes;Lebiasinidae;Pyrrhulina;Pyrrhulina aff. brevis;1;8
UPA6UT81;Paragominas;PA;-3.66524;-48.59988;Reduced-impact logging;2013;Characiformes;Lebiasinidae;Pyrrhulina;Pyrrhulina aff. brevis;1;26
UPA7UT30;Paragominas;PA;-3.70937;-48.56151;Reduced-impact logging;2013;Characiformes;Lebiasinidae;Pyrrhulina;Pyrrhulina aff. brevis;1;29
UPA7UT30-2;Paragominas;PA;-3.70929;-48.56111;Reduced-impact logging;2013;Characiformes;Lebiasinidae;Pyrrhulina;Pyrrhulina aff. brevis;1;60
UPA7UT55;Paragominas;PA;-3.66351;-48.56396;Reduced-impact logging;2013;Characiformes;Lebiasinidae;Pyrrhulina;Pyrrhulina aff. brevis;1;3
UPA9UT5;Paragominas;PA;-3.74078;-48.60257;Reduced-impact logging;2013;Characiformes;Lebiasinidae;Pyrrhulina;Pyrrhulina aff. brevis;1;7
UPA13UT31;Paragominas;PA;-3.70842;-48.71799;Reduced-impact logging;2013;Siluriformes;Loricariidae;Rineloricaria;Rineloricaria sp.;1;1
UPA11UT37;Paragominas;PA;-3.59552;-48.54519;Reduced-impact logging;2013;Siluriformes;Trichomycteridae;Trichomycterus;Trichomycterus hasemani  ;1;14
UPA6UT13;Paragominas;PA;-3.53329;-48.81104;Reduced-impact logging;2013;Siluriformes;Trichomycteridae;Trichomycterus;Trichomycterus hasemani  ;1;7
UPA6UT16;Paragominas;PA;-3.53072;-48.78286;Reduced-impact logging;2013;Siluriformes;Trichomycteridae;Trichomycterus;Trichomycterus hasemani  ;1;2
UPA6UT80;Paragominas;PA;-3.65393;-48.61003;Reduced-impact logging;2013;Siluriformes;Trichomycteridae;Trichomycterus;Trichomycterus hasemani  ;1;6
HYA10;Paragominas;PA;-3.25814;-47.76078;Pasture;2017;Cichliformes;Cichlidae;Aequidens;Aequidens sp. (juvenil);1;2
HYG04;Paragominas;PA;-3.20686;-47.78167;Pasture;2017;Cichliformes;Cichlidae;Aequidens;Aequidens sp. (juvenil);1;8
HYH12;Paragominas;PA;-3.27678;-47.76617;Forest;2017;Cichliformes;Cichlidae;Aequidens;Aequidens sp. (juvenil);1;1
HYH14;Paragominas;PA;-3.29954;-47.76735;Pasture;2017;Cichliformes;Cichlidae;Aequidens;Aequidens sp. (juvenil);1;1
HYI06-1;Paragominas;PA;-3.22519;-47.75233;Forest;2017;Cichliformes;Cichlidae;Aequidens;Aequidens sp. (juvenil);1;1
HYI09;Paragominas;PA;-3.24875;-47.72015;Minning;2017;Cichliformes;Cichlidae;Aequidens;Aequidens sp. (juvenil);1;4
HYJO4;Paragominas;PA;-3.20439;-47.74658;Pasture;2017;Cichliformes;Cichlidae;Aequidens;Aequidens sp. (juvenil);1;14
HYK-07;Paragominas;PA;-3.23358;-47.73786;Forest;2017;Cichliformes;Cichlidae;Aequidens;Aequidens sp. (juvenil);1;1
HYP13;Paragominas;PA;-3.28298;-47.66307;Eucalyptus;2017;Cichliformes;Cichlidae;Aequidens;Aequidens sp. (juvenil);1;3
HYP13-1;Paragominas;PA;-3.29055;-47.66903;Eucalyptus;2017;Cichliformes;Cichlidae;Aequidens;Aequidens sp. (juvenil);1;8
HYQ03;Paragominas;PA;-3.17011;-47.70055;Eucalyptus;2017;Cichliformes;Cichlidae;Aequidens;Aequidens sp. (juvenil);1;1
HYS-12;Paragominas;PA;-3.27841;-47.62288;Pasture;2017;Cichliformes;Cichlidae;Aequidens;Aequidens sp. (juvenil);1;7
HYA10;Paragominas;PA;-3.25814;-47.76078;Pasture;2017;Cichliformes;Cichlidae;Aequidens;Aequidens tetramerus;1;10
HYG04;Paragominas;PA;-3.20686;-47.78167;Pasture;2017;Cichliformes;Cichlidae;Aequidens;Aequidens tetramerus;1;12
HYH09;Paragominas;PA;-3.25358;-47.77569;Minning;2017;Cichliformes;Cichlidae;Aequidens;Aequidens tetramerus;1;1
HYH12;Paragominas;PA;-3.27678;-47.76617;Forest;2017;Cichliformes;Cichlidae;Aequidens;Aequidens tetramerus;1;1
HYI-10;Paragominas;PA;-3.25814;-47.76078;Minning;2017;Cichliformes;Cichlidae;Aequidens;Aequidens tetramerus;1;13
HYI06-1;Paragominas;PA;-3.22519;-47.75233;Forest;2017;Cichliformes;Cichlidae;Aequidens;Aequidens tetramerus;1;1
HYI09;Paragominas;PA;-3.24875;-47.72015;Minning;2017;Cichliformes;Cichlidae;Aequidens;Aequidens tetramerus;1;19
HYL09;Paragominas;PA;-3.24427;-47.75556;Minning;2017;Cichliformes;Cichlidae;Aequidens;Aequidens tetramerus;1;1
HYO05;Paragominas;PA;-3.20925;-47.67822;Pasture;2017;Cichliformes;Cichlidae;Aequidens;Aequidens tetramerus;1;12
HYP15;Paragominas;PA;-3.30486;-47.66311;Eucalyptus;2017;Cichliformes;Cichlidae;Aequidens;Aequidens tetramerus;1;1
HYA10;Paragominas;PA;-3.25814;-47.76078;Pasture;2017;Cyprinodontiformes;Rivulidae;Anablepsoides;Anablepsoides urophthalmus;1;2
HYI09;Paragominas;PA;-3.24875;-47.72015;Minning;2017;Cyprinodontiformes;Rivulidae;Anablepsoides;Anablepsoides urophthalmus;1;2
HYJO4;Paragominas;PA;-3.20439;-47.74658;Pasture;2017;Cyprinodontiformes;Rivulidae;Anablepsoides;Anablepsoides urophthalmus;1;4
HYK-07;Paragominas;PA;-3.23358;-47.73786;Forest;2017;Cyprinodontiformes;Rivulidae;Anablepsoides;Anablepsoides urophthalmus;1;1
HYO05;Paragominas;PA;-3.20925;-47.67822;Pasture;2017;Cyprinodontiformes;Rivulidae;Anablepsoides;Anablepsoides urophthalmus;1;5
HYP15;Paragominas;PA;-3.30486;-47.66311;Eucalyptus;2017;Cyprinodontiformes;Rivulidae;Anablepsoides;Anablepsoides urophthalmus;1;4
HYQ03;Paragominas;PA;-3.17011;-47.70055;Eucalyptus;2017;Cyprinodontiformes;Rivulidae;Anablepsoides;Anablepsoides urophthalmus;1;22
HYS-12;Paragominas;PA;-3.27841;-47.62288;Pasture;2017;Cyprinodontiformes;Rivulidae;Anablepsoides;Anablepsoides urophthalmus;1;5
HYG04;Paragominas;PA;-3.20686;-47.78167;Pasture;2017;Cichliformes;Cichlidae;Apistogramma;Apistogramma?agassizii;1;11
HYH12;Paragominas;PA;-3.27678;-47.76617;Forest;2017;Cichliformes;Cichlidae;Apistogramma;Apistogramma?agassizii;1;6
HYI06-1;Paragominas;PA;-3.22519;-47.75233;Forest;2017;Cichliformes;Cichlidae;Apistogramma;Apistogramma?agassizii;1;1
HYI09;Paragominas;PA;-3.24875;-47.72015;Minning;2017;Cichliformes;Cichlidae;Apistogramma;Apistogramma?agassizii;1;34
HYJO4;Paragominas;PA;-3.20439;-47.74658;Pasture;2017;Cichliformes;Cichlidae;Apistogramma;Apistogramma?agassizii;1;4
HYL16;Paragominas;PA;-3.32948;-47.72747;Forest;2017;Cichliformes;Cichlidae;Apistogramma;Apistogramma?agassizii;1;2
HYP15;Paragominas;PA;-3.30486;-47.66311;Eucalyptus;2017;Cichliformes;Cichlidae;Apistogramma;Apistogramma?agassizii;1;1
HYQ03;Paragominas;PA;-3.17011;-47.70055;Eucalyptus;2017;Cichliformes;Cichlidae;Apistogramma;Apistogramma?agassizii;1;80
HYA10;Paragominas;PA;-3.25814;-47.76078;Pasture;2017;Cichliformes;Cichlidae;Apistogramma;Apistogramma gr. regani;1;11
HYH09;Paragominas;PA;-3.25358;-47.77569;Minning;2017;Cichliformes;Cichlidae;Apistogramma;Apistogramma gr. regani;1;56
HYH12;Paragominas;PA;-3.27678;-47.76617;Forest;2017;Cichliformes;Cichlidae;Apistogramma;Apistogramma gr. regani;1;5
HYH14;Paragominas;PA;-3.29954;-47.76735;Pasture;2017;Cichliformes;Cichlidae;Apistogramma;Apistogramma gr. regani;1;27
HYI-10;Paragominas;PA;-3.25814;-47.76078;Minning;2017;Cichliformes;Cichlidae;Apistogramma;Apistogramma gr. regani;1;16
HYI06-1;Paragominas;PA;-3.22519;-47.75233;Forest;2017;Cichliformes;Cichlidae;Apistogramma;Apistogramma gr. regani;1;3
HYI09;Paragominas;PA;-3.24875;-47.72015;Minning;2017;Cichliformes;Cichlidae;Apistogramma;Apistogramma gr. regani;1;3
HYJO4;Paragominas;PA;-3.20439;-47.74658;Pasture;2017;Cichliformes;Cichlidae;Apistogramma;Apistogramma gr. regani;1;10
HYL09;Paragominas;PA;-3.24427;-47.75556;Minning;2017;Cichliformes;Cichlidae;Apistogramma;Apistogramma gr. regani;1;11
HYL16;Paragominas;PA;-3.32948;-47.72747;Forest;2017;Cichliformes;Cichlidae;Apistogramma;Apistogramma gr. regani;1;118
HYP13;Paragominas;PA;-3.28298;-47.66307;Eucalyptus;2017;Cichliformes;Cichlidae;Apistogramma;Apistogramma gr. regani;1;18
HYP13-1;Paragominas;PA;-3.29055;-47.66903;Eucalyptus;2017;Cichliformes;Cichlidae;Apistogramma;Apistogramma gr. regani;1;8
HYP15;Paragominas;PA;-3.30486;-47.66311;Eucalyptus;2017;Cichliformes;Cichlidae;Apistogramma;Apistogramma gr. regani;1;20
HYQ03;Paragominas;PA;-3.17011;-47.70055;Eucalyptus;2017;Cichliformes;Cichlidae;Apistogramma;Apistogramma gr. regani;1;2
HYS-12;Paragominas;PA;-3.27841;-47.62288;Pasture;2017;Cichliformes;Cichlidae;Apistogramma;Apistogramma gr. regani;1;53
HYL16;Paragominas;PA;-3.32948;-47.72747;Forest;2017;Characiformes;Characidae;Bario;Bario steindachneri;1;26
HYQ03;Paragominas;PA;-3.17011;-47.70055;Eucalyptus;2017;Characiformes;Characidae;Bario;Bario steindachneri;1;4
HYG04;Paragominas;PA;-3.20686;-47.78167;Pasture;2017;Gymnotiformes;Hypopomidae;Brachypopomus;Brachyhypopomus brevirostris;1;31
HYH09;Paragominas;PA;-3.25358;-47.77569;Minning;2017;Gymnotiformes;Hypopomidae;Brachypopomus;Brachyhypopomus brevirostris;1;5
HYH14;Paragominas;PA;-3.29954;-47.76735;Pasture;2017;Gymnotiformes;Hypopomidae;Brachypopomus;Brachyhypopomus brevirostris;1;3
HYI09;Paragominas;PA;-3.24875;-47.72015;Minning;2017;Gymnotiformes;Hypopomidae;Brachypopomus;Brachyhypopomus brevirostris;1;3
HYJO4;Paragominas;PA;-3.20439;-47.74658;Pasture;2017;Gymnotiformes;Hypopomidae;Brachypopomus;Brachyhypopomus brevirostris;1;7
HYK-07;Paragominas;PA;-3.23358;-47.73786;Forest;2017;Gymnotiformes;Hypopomidae;Brachypopomus;Brachyhypopomus brevirostris;1;5
HYO05;Paragominas;PA;-3.20925;-47.67822;Pasture;2017;Gymnotiformes;Hypopomidae;Brachypopomus;Brachyhypopomus brevirostris;1;35
HYP15;Paragominas;PA;-3.30486;-47.66311;Eucalyptus;2017;Gymnotiformes;Hypopomidae;Brachypopomus;Brachyhypopomus brevirostris;1;3
HYP15;Paragominas;PA;-3.30486;-47.66311;Eucalyptus;2017;Gymnotiformes;Hypopomidae;Brachypopomus;Brachyhypopomus brevirostris;1;1
HYQ03;Paragominas;PA;-3.17011;-47.70055;Eucalyptus;2017;Gymnotiformes;Hypopomidae;Brachypopomus;Brachyhypopomus brevirostris;1;20
HYS-12;Paragominas;PA;-3.27841;-47.62288;Pasture;2017;Gymnotiformes;Hypopomidae;Brachypopomus;Brachyhypopomus brevirostris;1;10
HYQ03;Paragominas;PA;-3.17011;-47.70055;Eucalyptus;2017;Gymnotiformes;Hypopomidae;Brachypopomus;Brachyhypopomus sp.;1;1
HYH14;Paragominas;PA;-3.29954;-47.76735;Pasture;2017;Gymnotiformes;Hypopomidae;Brachypopomus;Brachyhypopomus sp. (juvenil);1;2
HYQ03;Paragominas;PA;-3.17011;-47.70055;Eucalyptus;2017;Gymnotiformes;Hypopomidae;Brachypopomus;Brachyhypopomus sp. (juvenil);1;1
HYP13-1;Paragominas;PA;-3.29055;-47.66903;Eucalyptus;2017;Gymnotiformes;Hypopomidae;Brachypopomus;Brachyhypopomus sp.2;1;10
HYP15;Paragominas;PA;-3.30486;-47.66311;Eucalyptus;2017;Gymnotiformes;Hypopomidae;Brachypopomus;Brachyhypopomus sullivani;1;6
HYH14;Paragominas;PA;-3.29954;-47.76735;Pasture;2017;Characiformes;Iguanodectidae;Bryconops;Bryconops sp.;1;1
HYJO4;Paragominas;PA;-3.20439;-47.74658;Pasture;2017;Siluriformes;Callichthyidae;Callichthys;Callichthys callichthys;1;1
HYK-07;Paragominas;PA;-3.23358;-47.73786;Forest;2017;Siluriformes;Callichthyidae;Callichthys;Callichthys callichthys;1;1
HYO05;Paragominas;PA;-3.20925;-47.67822;Pasture;2017;Siluriformes;Callichthyidae;Callichthys;Callichthys callichthys;1;8
HYP15;Paragominas;PA;-3.30486;-47.66311;Eucalyptus;2017;Characiformes;Gasteropelecidae;Carnegiella ;Carnegiella strigata;1;2
HYS-12;Paragominas;PA;-3.27841;-47.62288;Pasture;2017;Characiformes;Gasteropelecidae;Carnegiella ;Carnegiella strigata;1;41
HYA10;Paragominas;PA;-3.25814;-47.76078;Pasture;2017;Characiformes;Crenuchidae;Characidium;Characidium sp. n.;1;1
HYL16;Paragominas;PA;-3.32948;-47.72747;Forest;2017;Characiformes;Crenuchidae;Characidium;Characidium sp. n.;1;15
HYP13-1;Paragominas;PA;-3.29055;-47.66903;Eucalyptus;2017;Characiformes;Crenuchidae;Characidium;Characidium sp. n.;1;1
HYS-12;Paragominas;PA;-3.27841;-47.62288;Pasture;2017;Characiformes;Crenuchidae;Characidium;Characidium sp. n.;1;38
HYG04;Paragominas;PA;-3.20686;-47.78167;Pasture;2017;Characiformes;Lebiasinidae;Copella;Copella arnoldi;1;11
HYH14;Paragominas;PA;-3.29954;-47.76735;Pasture;2017;Characiformes;Lebiasinidae;Copella;Copella arnoldi;1;33
HYI-10;Paragominas;PA;-3.25814;-47.76078;Minning;2017;Characiformes;Lebiasinidae;Copella;Copella arnoldi;1;4
HYI06-1;Paragominas;PA;-3.22519;-47.75233;Forest;2017;Characiformes;Lebiasinidae;Copella;Copella arnoldi;1;4
HYI09;Paragominas;PA;-3.24875;-47.72015;Minning;2017;Characiformes;Lebiasinidae;Copella;Copella arnoldi;1;12
HYJO4;Paragominas;PA;-3.20439;-47.74658;Pasture;2017;Characiformes;Lebiasinidae;Copella;Copella arnoldi;1;6
HYK-07;Paragominas;PA;-3.23358;-47.73786;Forest;2017;Characiformes;Lebiasinidae;Copella;Copella arnoldi;1;8
HYL09;Paragominas;PA;-3.24427;-47.75556;Minning;2017;Characiformes;Lebiasinidae;Copella;Copella arnoldi;1;12
HYL16;Paragominas;PA;-3.32948;-47.72747;Forest;2017;Characiformes;Lebiasinidae;Copella;Copella arnoldi;1;24
HYO05;Paragominas;PA;-3.20925;-47.67822;Pasture;2017;Characiformes;Lebiasinidae;Copella;Copella arnoldi;1;9
HYP13;Paragominas;PA;-3.28298;-47.66307;Eucalyptus;2017;Characiformes;Lebiasinidae;Copella;Copella arnoldi;1;15
HYP15;Paragominas;PA;-3.30486;-47.66311;Eucalyptus;2017;Characiformes;Lebiasinidae;Copella;Copella arnoldi;1;24
HYQ03;Paragominas;PA;-3.17011;-47.70055;Eucalyptus;2017;Characiformes;Lebiasinidae;Copella;Copella arnoldi;1;34
HYS-12;Paragominas;PA;-3.27841;-47.62288;Pasture;2017;Characiformes;Lebiasinidae;Copella;Copella arnoldi;1;87
HYG04;Paragominas;PA;-3.20686;-47.78167;Pasture;2017;Cichliformes;Cichlidae;Crenicichla;Crenicichla sp. (juvenil);1;8
HYH12;Paragominas;PA;-3.27678;-47.76617;Forest;2017;Cichliformes;Cichlidae;Crenicichla;Crenicichla sp. (juvenil);1;1
HYH14;Paragominas;PA;-3.29954;-47.76735;Pasture;2017;Cichliformes;Cichlidae;Crenicichla;Crenicichla sp. (juvenil);1;1
HYO05;Paragominas;PA;-3.20925;-47.67822;Pasture;2017;Cichliformes;Cichlidae;Crenicichla;Crenicichla sp. (juvenil);1;29
HYP13;Paragominas;PA;-3.28298;-47.66307;Eucalyptus;2017;Cichliformes;Cichlidae;Crenicichla;Crenicichla sp. (juvenil);1;5
HYQ03;Paragominas;PA;-3.17011;-47.70055;Eucalyptus;2017;Characiformes;Crenuchidae;Crenuchus;Crenuchus?spilurus?;1;9
HYG04;Paragominas;PA;-3.20686;-47.78167;Pasture;2017;Characiformes;Curimatidae;Curimatopsis;Curimatopsis evelynae;1;35
HYH09;Paragominas;PA;-3.25358;-47.77569;Minning;2017;Characiformes;Curimatidae;Curimatopsis;Curimatopsis evelynae;1;1
HYH14;Paragominas;PA;-3.29954;-47.76735;Pasture;2017;Characiformes;Curimatidae;Curimatopsis;Curimatopsis evelynae;1;13
HYJO4;Paragominas;PA;-3.20439;-47.74658;Pasture;2017;Characiformes;Curimatidae;Curimatopsis;Curimatopsis evelynae;1;5
HYK-07;Paragominas;PA;-3.23358;-47.73786;Forest;2017;Characiformes;Curimatidae;Curimatopsis;Curimatopsis evelynae;1;1
HYP13;Paragominas;PA;-3.28298;-47.66307;Eucalyptus;2017;Characiformes;Curimatidae;Curimatopsis;Curimatopsis evelynae;1;4
HYQ03;Paragominas;PA;-3.17011;-47.70055;Eucalyptus;2017;Characiformes;Curimatidae;Curimatopsis;Curimatopsis evelynae;1;3
HYI06-1;Paragominas;PA;-3.22519;-47.75233;Forest;2017;Siluriformes;Cetopsidae;Denticetopsis;Denticetopsis epa;1;3
HYG04;Paragominas;PA;-3.20686;-47.78167;Pasture;2017;Gymnotiformes; Sternopygidae;Eigenmannia ;Eigenmannia gr. trilineata;1;2
HYH09;Paragominas;PA;-3.25358;-47.77569;Minning;2017;Gymnotiformes; Sternopygidae;Eigenmannia ;Eigenmannia gr. trilineata;1;1
HYH12;Paragominas;PA;-3.27678;-47.76617;Forest;2017;Gymnotiformes; Sternopygidae;Eigenmannia ;Eigenmannia gr. trilineata;1;1
HYH14;Paragominas;PA;-3.29954;-47.76735;Pasture;2017;Gymnotiformes; Sternopygidae;Eigenmannia ;Eigenmannia gr. trilineata;1;10
HYI-10;Paragominas;PA;-3.25814;-47.76078;Minning;2017;Gymnotiformes; Sternopygidae;Eigenmannia ;Eigenmannia gr. trilineata;1;1
HYI06-1;Paragominas;PA;-3.22519;-47.75233;Forest;2017;Gymnotiformes; Sternopygidae;Eigenmannia ;Eigenmannia gr. trilineata;1;2
HYI09;Paragominas;PA;-3.24875;-47.72015;Minning;2017;Gymnotiformes; Sternopygidae;Eigenmannia ;Eigenmannia gr. trilineata;1;2
HYO05;Paragominas;PA;-3.20925;-47.67822;Pasture;2017;Gymnotiformes; Sternopygidae;Eigenmannia ;Eigenmannia gr. trilineata;1;4
HYP13;Paragominas;PA;-3.28298;-47.66307;Eucalyptus;2017;Gymnotiformes; Sternopygidae;Eigenmannia ;Eigenmannia gr. trilineata;1;1
HYP15;Paragominas;PA;-3.30486;-47.66311;Eucalyptus;2017;Gymnotiformes; Sternopygidae;Eigenmannia ;Eigenmannia gr. trilineata;1;11
HYJO4;Paragominas;PA;-3.20439;-47.74658;Pasture;2017;Characiformes;Erythrinidae;Erythrinus;Erythrinus?erythrinus;1;18
HYK-07;Paragominas;PA;-3.23358;-47.73786;Forest;2017;Characiformes;Erythrinidae;Erythrinus;Erythrinus?erythrinus;1;1
HYO05;Paragominas;PA;-3.20925;-47.67822;Pasture;2017;Characiformes;Erythrinidae;Erythrinus;Erythrinus?erythrinus;1;22
HYQ03;Paragominas;PA;-3.17011;-47.70055;Eucalyptus;2017;Characiformes;Erythrinidae;Erythrinus;Erythrinus?erythrinus;1;3
HYS-12;Paragominas;PA;-3.27841;-47.62288;Pasture;2017;Characiformes;Erythrinidae;Erythrinus;Erythrinus?erythrinus;1;18
HYH14;Paragominas;PA;-3.29954;-47.76735;Pasture;2017;Siluriformes;Loricariidae;Farlowella;Farlowella amazonum;1;1
HYI-10;Paragominas;PA;-3.25814;-47.76078;Minning;2017;Siluriformes;Loricariidae;Farlowella;Farlowella amazonum;1;5
HYL09;Paragominas;PA;-3.24427;-47.75556;Minning;2017;Siluriformes;Loricariidae;Farlowella;Farlowella amazonum;1;1
HYP13;Paragominas;PA;-3.28298;-47.66307;Eucalyptus;2017;Siluriformes;Loricariidae;Farlowella;Farlowella amazonum;1;3
HYH09;Paragominas;PA;-3.25358;-47.77569;Minning;2017;Gymnotiformes; Rhamphichthyidae;Gymnorhamphichthys;Gymnorhamphichthys?rondoni;1;1
HYH12;Paragominas;PA;-3.27678;-47.76617;Forest;2017;Gymnotiformes; Rhamphichthyidae;Gymnorhamphichthys;Gymnorhamphichthys?rondoni;1;1
